ISSN,Volume_Start,Year_Start,Volume_End,Year_End,Issue_Start,Issue_End,Supplement,Signature,Annotation
0365-7000,13,1884,28,1900,,,No,,
0365-7000,30,1909,36,1914,,,No,,
0365-7000,,,,,1,,No,,
,30,1911,35,1915,,,No,,
0001-4842,1,1968,11,1978,,,No,,
0001-4842,16,1983,,,,,No,,
0001-4842,17,1984,,,,,No,,
0001-4842,,,,,1,3,No,,
0001-5113,1,1932,36,1995,,,No,,
0001-5113,38,1997,43,2002,,,No,,
0001-5113,44,2003,,,,,No,,
0001-5113,45,2004,,,,,No,,
0001-5113,46,2005,,,,,No,,
0001-5113,47,2006,,,,,No,,
0001-5113,49,2008,59,2018,,,No,,
0001-5113,60,2019,,,,,No,,
0001-5113,61,2020,,,,,No,,
0001-5113,36,1995,,,,,No,,
0001-5113,38,1997,,,,,No,,
0001-5113,39,1998,43,2002,,,No,,
0001-5113,44,2003,62,2021,,,No,,
0001-5113,63,2022,,,,,No,,
0351-7101,2,1983,4,1987,,,No,,
0351-7101,6,1993,,,,,No,,
0350-5901,1,1976,9,1984,,,No,,
0350-5901,11,1986,,,,,No,,
0350-5901,12,1987,15,1990,,,No,,
0350-5901,2,1977,8,1983,,,No,,
0350-5901,11,1985,15,1990,,,No,,
0350-5901,,,,,1,,No,,
0350-5901,,,,,2,,No,,
0021-3225,1,1965,,,,,No,,
0021-3225,2,1966,8,1972,,,No,,
0021-3225,9,1973,,,,,No,,
0021-3225,10,1974,,,,,No,,
0021-3225,,,,,1,3,No,,
0021-3225,,,,,1,2,No,,
0021-3225,,,,,1,,No,,
0531-9110,1,1966,24,1989,,,No,,
0531-9110,31,1996,,,,,No,,
0531-9110,37,2002,38,2003,,,No,,
0531-9110,,,,,2,,No,,
0534-0012,1,1969,,,,,No,,
0534-0012,2,1970,11,1979,,,No,,
0534-0012,29,1997,,,,,No,,
0534-0012,31,1999,,,,,No,,
0534-0012,35,2003,,,,,No,,
0534-0012,36,2004,,,,,No,,
0534-0012,37,2005,,,,,No,,
0534-0012,,,,,1,,No,,
0365-0588,13,1949,15,1956,,,No,,
0365-0588,16,1957,,,,,No,,
0365-0588,19,1960,,,,,No,,
0365-0588,23,1964,29,1970,,,No,,
0365-0588,31,1972,34,1975,,,No,,
0365-0588,36,1977,37,1978,,,No,,
0365-0588,39,1980,48,1989,,,No,,
0365-0588,53,1994,54,1995,,,No,,
0365-0588,56,1998,61,2002,,,No,,
0001-5369,38,1947,144,1990,,,No,,
0001-5393,12,1958,27,1973,,,No,,od vol. 28 (1974) dijeli se u:	Acta Chemica Scandinavica A i| 					Acta Chemica Scandinavica B
0365-110X,1,1948,23,1967,,,No,,"od vol. 24 (1968) izlazi kao: | 	Acta Crystallographica, Section A: Crystal Physics, Diffraction, Theoretical and General Crystallography  i | 	Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry."
,15,1997,,,,,No,,
,,,,,18,20,No,,
,22,2004,,,,,No,,
,,,,,36,,No,,
,24,2006,,,,,No,,
,,,,,40,,No,,
