Journals_Data_Title,journal_autofix_title,Journals_Data_ISSN,Journals_Data_INVBR,Journals_Data_Location,Journals_Data_Journal_Ext_Info,Source_Line,CLEAN_ISSN,CLEAN_TITLE,CLEAN_TITLE_ext,CLEAN_PUBLISHER
﻿Abhandlungen der Senckenbergischen Naturforschenden Gesellschaft Frankfurt,﻿Abhandlungen der Senckenbergischen Naturforschenden Gesellschaft Frankfurt,0365-7000,P-724,Rovinj,"13 (1884) - 28 (1900) No. 1,...,3-4|30 (1909) - 36 (1914)","﻿Abhandlungen der Senckenbergischen Naturforschenden Gesellschaft Frankfurt|ISSN 0365-7000|inv. br. P-724||13 (1884) - 28 (1900) No. 1,...,3-4|30 (1909) - 36 (1914)						****Rovinj",,,,
"Abteilung für Allgemeine Zoologie und Physiologie,",Abteilung für Allgemeine Zoologie und Physiologie,,P-725,Rovinj,30 (1911) - 35 (1915),"Abteilung für Allgemeine Zoologie und Physiologie,|inv. br. P-725 ||30 (1911) - 35 (1915)						****Rovinj",,,,
"Access, Key to the Source Literature of the Chemical Science",Access,,P-514,,*vidi: CASSI (Chemical Abstracts Service Source Index),"Access, Key to the Source Literature of the Chemical Science|inv. br. P-514||*vidi: CASSI (Chemical Abstracts Service Source Index)",,,,
"Accounts of Chemical Research, (1968) Washington",Accounts of Chemical Research,0001-4842,P-431,3. krilo,"1 (1968) – 11 (1978)|16 (1983) No. …,2-11|17 (1984) No. 1–3,","Accounts of Chemical Research, (1968) Washington|ISSN 0001-4842|inv. br. P-431||1 (1968) – 11 (1978)|16 (1983) No. …,2-11|17 (1984) No. 1–3,						****3. krilo",,,,
"Acta Adriatica, (1932) Split",Acta Adriatica,0001-5113,P-726,Rovinj,"1 (1932) – 36 (1995)|38 (1997) – 43 (2002)|44 (2003) br.2 - 45 (2004) |46 (2005) br.2, supl.1, supl.2	|47 (2006) |49 (2008) - 59 (2018)  							       60 (2019)|61 (2020)	----->					|-----------------------------------------------------------------------|36 (1995) 							|38 (1997) Br. 1|39 (1998) – 43 (2002) Br. 1,	|44 (2003) – 62 (2021)|63 (2022)	----->","Acta Adriatica, (1932) Split|ISSN 0001-5113|inv. br. P-726||1 (1932) – 36 (1995)|38 (1997) – 43 (2002)|44 (2003) br.2 - 45 (2004) |46 (2005) br.2, supl.1, supl.2	|47 (2006) |49 (2008) - 59 (2018)  							       60 (2019)|61 (2020)	----->					****Rovinj|-----------------------------------------------------------------------|36 (1995) 							**** 5. krilo|38 (1997) Br. 1|39 (1998) – 43 (2002) Br. 1,	|44 (2003) – 62 (2021)|63 (2022)	----->",,,,
Acta Biocovica,Acta Biocovica,0351-7101,P-727,Rovinj,2 (1983) – 4 (1987)|6 (1993),Acta Biocovica|ISSN 0351-7101|inv. br. P-727||2 (1983) – 4 (1987)|6 (1993)							****Rovinj,,,,
"Acta Biologiae et Medicinae Experimentalis, (1976) Priština",Acta Biologiae et Medicinae Experimentalis,0350-5901,P-592,Rovinj,1 (1976) – 9 (1984) No.1|11 (1986) No.2 |12 (1987) – 15 (1990)					|-----------------------------------------------------------------------|2 (1977) – 8 (1983)|11 (1985) – 15 (1990),"Acta Biologiae et Medicinae Experimentalis, (1976) Priština|ISSN 0350-5901|inv. br. P-592||1 (1976) – 9 (1984) No.1|11 (1986) No.2 |12 (1987) – 15 (1990)					****Rovinj|-----------------------------------------------------------------------|2 (1977) – 8 (1983)|11 (1985) – 15 (1990)					****Arhiv 1. krilo",,,,
"Acta Biologica Iugoslavica, Ser. C: Iugoslavica physiologica et pharmacologica acta, (1965) Beograd",Acta Biologica Iugoslavica,0021-3225,P-524,Rovinj,"1 (1965) No. 1-3|2 (1966) – 8 (1972) No. 1-2,|9 (1973) No. ..., 2-3|10 (1974) No. 1,","Acta Biologica Iugoslavica, Ser. C: Iugoslavica physiologica et pharmacologica acta, (1965) Beograd|ISSN 0021-3225|inv. br. P-524||1 (1965) No. 1-3|2 (1966) – 8 (1972) No. 1-2,|9 (1973) No. ..., 2-3|10 (1974) No. 1,						****Rovinj",,,,
"Acta Biologica Iugoslavica, Ser. D: Ekologija, (1966) Beograd",Acta Biologica Iugoslavica,0531-9110,P-728,Rovinj,1 (1966) – 24 (1989) |31 (1996) No.2|37 (2002) – 38 (2003),"Acta Biologica Iugoslavica, Ser. D: Ekologija, (1966) Beograd|ISSN 0531-9110|inv. br. P-728||1 (1966) – 24 (1989) |31 (1996) No.2|37 (2002) – 38 (2003)						****Rovinj",,,,
"Acta Biologica Iugoslavica, Ser. F: Genetika, (1969) Beograd",Acta Biologica Iugoslavica,0534-0012,P-512,Rovinj,"1 (1969) No. 1,|2 (1970) - 11 (1979)						|-----------------------------------------------------------------------|29 (1997) Br. …,2, 						|31 (1999) Br. 1-3|35 (2003) Br. 1-3|36 (2004) Br. 1-2|37 (2005) Br. 1-2","Acta Biologica Iugoslavica, Ser. F: Genetika, (1969) Beograd|ISSN 0534-0012|inv. br. P-512||1 (1969) No. 1,|2 (1970) - 11 (1979)						****Rovinj|-----------------------------------------------------------------------|29 (1997) Br. …,2, 						****Arhiv 1. krilo|31 (1999) Br. 1-3|35 (2003) Br. 1-3|36 (2004) Br. 1-2|37 (2005) Br. 1-2",,,,
